Country Name,Country Code,Series Name,Series Code,YR2023
Belarus,BLR,"Population ages 80 and above, female",SP.POP.80UP.FE,263852
Belarus,BLR,"Population ages 80 and above, male",SP.POP.80UP.MA,74635
Belarus,BLR,"Population, female",SP.POP.TOTL.FE.IN,4959927
Belarus,BLR,"Population, male",SP.POP.TOTL.MA.IN,4227127
Belarus,BLR,"Population, total",SP.POP.TOTL,9187054
Belarus,BLR,Urban population,SP.URB.TOTL,7416801
Belgium,BEL,"Population ages 0-14, female",SP.POP.0014.FE.IN,935105
Belgium,BEL,"Population ages 0-14, male",SP.POP.0014.MA.IN,979054
Belgium,BEL,"Population ages 15-64, female",SP.POP.1564.FE.IN,3687136
Belgium,BEL,"Population ages 15-64, male",SP.POP.1564.MA.IN,3759417
Belgium,BEL,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,1052612
Belgium,BEL,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,1301129
Belgium,BEL,"Population ages 80 and above, female",SP.POP.80UP.FE,405348
Belgium,BEL,"Population ages 80 and above, male",SP.POP.80UP.MA,248499
Belgium,BEL,"Population, female",SP.POP.TOTL.FE.IN,5923370
Belgium,BEL,"Population, male",SP.POP.TOTL.MA.IN,5791083
Belgium,BEL,"Population, total",SP.POP.TOTL,11714453
Belgium,BEL,Urban population,SP.URB.TOTL,11502304
Belize,BLZ,"Population ages 0-14, female",SP.POP.0014.FE.IN,54690
Belize,BLZ,"Population ages 0-14, male",SP.POP.0014.MA.IN,57300
Belize,BLZ,"Population ages 15-64, female",SP.POP.1564.FE.IN,138626
Belize,BLZ,"Population ages 15-64, male",SP.POP.1564.MA.IN,138658
Belize,BLZ,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,10503
Belize,BLZ,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,11049
Belize,BLZ,"Population ages 80 and above, female",SP.POP.80UP.FE,1968
Belize,BLZ,"Population ages 80 and above, male",SP.POP.80UP.MA,1668
Belize,BLZ,"Population, female",SP.POP.TOTL.FE.IN,204364
Belize,BLZ,"Population, male",SP.POP.TOTL.MA.IN,206461
Belize,BLZ,"Population, total",SP.POP.TOTL,410825
Belize,BLZ,Urban population,SP.URB.TOTL,191477
Benin,BEN,"Population ages 0-14, female",SP.POP.0014.FE.IN,2859622
Benin,BEN,"Population ages 0-14, male",SP.POP.0014.MA.IN,2936895
Benin,BEN,"Population ages 15-64, female",SP.POP.1564.FE.IN,3749960
Benin,BEN,"Population ages 15-64, male",SP.POP.1564.MA.IN,3745744
Benin,BEN,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,188081
Benin,BEN,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,232528
Benin,BEN,"Population ages 80 and above, female",SP.POP.80UP.FE,32844
Benin,BEN,"Population ages 80 and above, male",SP.POP.80UP.MA,21109
Benin,BEN,"Population, female",SP.POP.TOTL.FE.IN,6842109
Benin,BEN,"Population, male",SP.POP.TOTL.MA.IN,6870720
Benin,BEN,"Population, total",SP.POP.TOTL,13712828
Benin,BEN,Urban population,SP.URB.TOTL,6870127
Bhutan,BTN,"Population ages 0-14, female",SP.POP.0014.FE.IN,82281
Bhutan,BTN,"Population ages 0-14, male",SP.POP.0014.MA.IN,87292
Bhutan,BTN,"Population ages 15-64, female",SP.POP.1564.FE.IN,263449
Bhutan,BTN,"Population ages 15-64, male",SP.POP.1564.MA.IN,304184
Bhutan,BTN,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,24720
Bhutan,BTN,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,25498
Bhutan,BTN,"Population ages 80 and above, female",SP.POP.80UP.FE,4450
Bhutan,BTN,"Population ages 80 and above, male",SP.POP.80UP.MA,3847
Bhutan,BTN,"Population, female",SP.POP.TOTL.FE.IN,371228
Bhutan,BTN,"Population, male",SP.POP.TOTL.MA.IN,416196
Bhutan,BTN,"Population, total",SP.POP.TOTL,787424
Bhutan,BTN,Urban population,SP.URB.TOTL,349223
Bolivia,BOL,"Population ages 0-14, female",SP.POP.0014.FE.IN,1853909
Bolivia,BOL,"Population ages 0-14, male",SP.POP.0014.MA.IN,1922993
